CPF	NOME	ENDERECO_1	ENDERECO_2	BAIRRO	CIDADE	ESTADO	CEP	DATA_DE_NASCIMENTO	IDADE	GENERO	LIMITE_DE_CREDITO	VOLUME_DE_COMPRA	PRIMEIRA_COMPRA
1471156710	Erica Carvalho	R. Iriquitia		Jardins	Sao Paulo	SP	80012212	01/09/90	27	F	170000	24500	0
19290992743	Fernando Cavalcante	R. Dois de Fevereiro		Agua Santa	Rio de Janeiro	RJ	22000000	12/02/00	18	M	100000	20000	1
2600586709	Cesar Teixeira	Rua Conde de Bonfim		Tijuca	Rio de Janeiro	RJ	22020001	12/03/00	18	M	120000	22000	0
3623344710	Marcos Nogueira	Av. Pastor Martin Luther King Junior		Inhauma	Rio de Janeiro	RJ	22002012	13/01/95	23	M	110000	22000	1
492472718	Eduardo Jorge	R. Volta Grande		Tijuca	Rio de Janeiro	RJ	22012002	19/07/94	23	M	75000	9500	1
50534475787	Abel Silva 	Rua Humaita		Humaita	Rio de Janeiro	RJ	22000212	11/09/95	22	M	170000	26000	0
5576228758	Petra Oliveira	R. Benicio de Abreu		Lapa	Sao Paulo	SP	88192029	14/11/95	22	F	70000	16000	1
5648641702	Paulo Cesar Mattos	Rua Helio Beltrao		Tijuca	Rio de Janeiro	RJ	21002020	30/08/91	26	M	120000	22000	0
5840119709	Gabriel Araujo	R. Manuel de Oliveira		Santo Amaro	Sao Paulo	SP	80010221	16/03/85	32	M	140000	21000	1
7771579779	Marcelo Mattos	R. Eduardo Luís Lopes		Bras	Sao Paulo	SP	88202912	25/03/92	25	M	120000	20000	1
8502682733	Valdeci da Silva	R. Srg. Edison de Oliveira		Jardins	Sao Paulo	SP	82122020	07/10/95	22	M	110000	19000	0
8719655770	Carlos Eduardo	Av. Gen. Guedes da Fontoura		Jardins	Sao Paulo	SP	81192002	20/12/83	34	M	200000	24000	0
9283760794	Edson Meilelles	R. Pinto de Azevedo		Cidade Nova	Rio de Janeiro	RJ	22002002	07/10/95	22	M	150000	25000	1
94387575700	Walber Lontra	R. Cel. Almeida		Piedade	Rio de Janeiro	RJ	22000201	20/06/89	28	M	60000	12000	1
95939180787	Fabio Carvalho	R. dos Jacarandas da Peninsula		Barra da Tijuca	Rio de Janeiro	RJ	22002020	05/01/92	16	M	90000	18000	1
23412632331	Juliana Silva	R. Tramandai		Bangu	Rio de Janeiro	RJ	23400000	04/02/89	28	F	180000	24500	0
